EGAZ00001018580_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_124_ICGCDBDE20130916030.rsem.bam.aes	25GB	Aug 11, 2016 11:48:00 AM
EGAZ00001018581_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_128_ICGCDBDE20130916033.rsem.bam.aes	24GB	Aug 11, 2016 2:11:00 PM
EGAZ00001018582_2014_ICGC_IcgcOvarian_AOCS064_1DNA_1NormalBlood_ICGCDBPC20130205027_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	108GB	Aug 11, 2016 5:56:00 PM
EGAZ00001018583_2014_ICGC_IcgcOvarian_AOCS065_1DNA_12Ascites_ICGCDBPC20130607008_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	170GB	Aug 11, 2016 11:17:00 PM
EGAZ00001018584_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_005_ICGCDBDE20130916004.rsem.bam.aes	48GB	Aug 11, 2016 4:09:00 PM
EGAZ00001018585_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_105_ICGCDBDE20130916023.rsem.bam.aes	28GB	Aug 11, 2016 2:10:00 PM
EGAZ00001018586_2014_ICGC_131206_EXTERN_0044_AC2JWTACXX.nopd.AOCS_134_ICGCDBDE20131122020.rsem.bam.aes	22GB	Aug 11, 2016 5:24:00 PM
EGAZ00001018587_2014_ICGC_IcgcOvarian_AOCS128_1DNA_1NormalBlood_ICGCDBPC20130205111_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	135GB	Aug 11, 2016 11:14:00 PM
EGAZ00001018588_2014_ICGC_IcgcOvarian_AOCS122_1DNA_7PrimaryTumour_ICGCDBPC20130205102_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	124GB	Aug 11, 2016 10:33:00 PM
EGAZ00001018589_2014_ICGC_IcgcOvarian_AOCS085_1DNA_1NormalBlood_ICGCDBPC20130205048_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	95GB	Aug 11, 2016 8:23:00 PM
EGAZ00001018590_2014_ICGC_IcgcOvarian_AOCS091_1DNA_1NormalBlood_ICGCDBPC20130205057_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	90GB	Aug 11, 2016 9:09:00 PM
EGAZ00001018591_2014_ICGC_IcgcOvarian_AOCS084_1DNA_7PrimaryTumour_ICGCDBPC20130205047_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	142GB	Aug 12, 2016 3:59:00 AM
EGAZ00001018592_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_064_ICGCDBLG2010062214TR.rsem.bam.aes	27GB	Aug 11, 2016 5:59:00 PM
EGAZ00001018593_2014_ICGC_IcgcOvarian_AOCS075_1DNA_1NormalBlood_ICGCDBPC20130205032_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	96GB	Aug 11, 2016 11:47:00 PM
EGAZ00001018594_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_150_ICGCDBDE20130916040.rsem.bam.aes	26GB	Aug 11, 2016 7:02:00 PM
EGAZ00001018595_2014_ICGC_IcgcOvarian_AOCS158_1DNA_7PrimaryTumour_ICGCDBDE20130904012_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	113GB	Aug 12, 2016 2:04:00 AM
EGAZ00001018596_2014_ICGC_140227_EXTERN_0128_AC2V5YACXX.nopd.AOCS_162_EXTERNAOCS20140227004.rsem.bam.aes	26GB	Aug 11, 2016 7:31:00 PM
EGAZ00001018597_2014_ICGC_IcgcOvarian_AOCS034_1DNA_7PrimaryTumour_ICGCDBPC20130205009_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	119GB	Aug 12, 2016 3:09:00 AM
EGAZ00001018598_2014_ICGC_IcgcOvarian_AOCS160_1DNA_7PrimaryTumour_ICGCDBDE20130904014_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	123GB	Aug 12, 2016 3:36:00 AM
EGAZ00001018599_2014_ICGC_IcgcOvarian_AOCS078_1DNA_7PrimaryTumour_ICGCDBPC20130205126_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	143GB	Aug 12, 2016 5:58:00 AM
