"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 18","Signature 19","Signature 20","Signature 21","Signature 23","Signature 24","Signature 25","Signature 26","Signature 29","Signature 30","Sample"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380994477621601,NA,0.371761273771388,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.131735022342168,0,0,0,0,"AOCS-139-16/SP101896 new "
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388305379200663,NA,0.283114690044816,0.151008813750713,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-095-13/SP101650 new "
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392859992884437,NA,0.392819443954328,0.0671525724617973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-17/SP101901 new "
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402452249287756,NA,0,0,0.139008371500256,0,NA,0,0,0.0956012731211251,0,0,NA,0,0,0,0,0,0,0,0,0.280359365640892,0,0,0,0,"TCGA-1705-02A new "
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405850648653167,NA,0.452309135025602,0.0654671928116705,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1/SP101642 primary "
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421823638449148,0,0.199025143443783,0,0,0,NA,0,0,NA,0,0,NA,0,0.159106752670073,0,0,0,0,0,0,0,0.162151642550904,0,0,0,"PT189-primary_colon primary-high-vaf "
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425833576518354,NA,0.351360437290068,0.0726570632530571,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-13/SP101624 new "
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435717071911217,NA,0.344799352660285,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.093404532072476,0,0,"TCGA-1707-02A new "
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436873561192459,NA,0.409070085186907,0.0886551151191185,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-4/SP101906 new "
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440705020491885,0,0.21131271374114,0,0,0,NA,0,0,NA,0,0,NA,0,0.109036376989139,0,0,0,0,0,0,0,0.138201827241473,0,0,0,"PT189-primary_colon primary "
