"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"9",0.0703666306226178,0,0.364300457050359,0,0.19113758100192,0,0,0.20965547445018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-057-1/SP101530 all"
"39",0.0714725405622908,0,0.654165053479471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612926042788102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934375421703187,0,0,"AOCS-093-12/SP101636 all"
"51",0.0715351508250033,0,0.496188011397144,0,0.100183688960783,0,0,0.129714384490981,0,0,0,0,0,0,0,0.0676114772391331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-108-1/SP101678 all"
"43",0.0723254418510354,0,0.443460685930517,0,0,0,0,0.301397070447379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-095-1/SP101648 all"
"17",0.0723631146920875,0,0.428037834641406,0,0,0,0,0.250553257150609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-1/SP101558 all"
"49",0.07528105933556,0,0.432415797014886,0,0.119215714388189,0,0,0.196824445735961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-106-1/SP101670 all"
"87",0.0758578938813678,0,0.489377963842643,0,0,0,0,0.150095488595777,0,0,0,0,0,0,0,0.0789138167513117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-145-1/SP101961 all"
"1",0.0784251162707199,0,0.427108738109648,0,0,0,0,0.163501321304615,0,0,0,0,0,0,0,0.132947884525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-001-1/SP101515 all"
"78",0.0801864043731347,0,0.4875885499771,0,0.107774836026216,0,0,0.162437304697322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718116394554538,0,0,"AOCS-139-1/SP101891 all"
"75",0.0804888820995269,0,0.434067513027313,0,0,0,0,0.203091267768865,0,0,0,0,0,0,0,0.0701648985695261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-12/SP101866 all"
"86",0.0813755903231192,0,0.33842500340298,0,0,0,0,0.231159891019804,0,0,0,0,0.0653569937368789,0,0,0.070898180186758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-144-1/SP101951 all"
