"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Chicken.cisplatin","Chicken.cyclophosphamide","Chicken.etoposide","C.Elegans.Cisplatin","Sample"
"84",0.109265037391373,0,0.408441103698699,0,0,0,0,0.134262731437946,0.0739013031434953,0,0,0,0.0971330103322186,0,0,0.074236747689034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-142-13/SP101931 all"
"113",0.120574669093594,0,0.490531220665063,0,0,0,0,0,0.0602925415587591,0,0,0,0,0,0,0.194023225260421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-12/SP102177 all"
"112",0.121781681185001,0,0.467621748449299,0,0,0,0,0,0.0640933846061905,0,0,0,0,0,0,0.201561698743527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-1/SP102174 all"
"103",0.125948919218762,0,0.170656094006792,0,0.184942132426168,0,0,0.323677697094142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-163-1/SP102103 all"
"58",0.127400642021386,0,0.309559899429156,0,0.182802292282589,0,0,0.189097733237111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-116-1/SP101716 all"
"54",0.129531407186785,0,0.356287086580523,0,0.0920424315625819,0,0,0.306782989472923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-112-1/SP101690 all"
"4",0.133928773820695,0,0.188933045430041,0,0.248624698919704,0,0,0.111106684831404,0.0691217972905264,0,0,0,0.080032048680462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-005-1/SP101521 all"
"28",0.134760188699575,0,0,0,0.312108756631989,0,0,0.229010130395411,0.0676301386171292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-085-1/SP101600 all"
"36",0.14229946799244,0,0.414786760468586,0,0.243880211685331,0,0,0.140731904652204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-092-1/SP101628 all"
"22",0.142778266606733,0,0.434519502813651,0,0,0,0,0,0,0,0,0,0.0710237741993357,0,0,0.153778755915764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-078-1/SP101576 all"
"83",0.146790738516834,0.0964481735741356,0.322324202869724,0,0,0,0,0,0,0,0,0,0.111941347898772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-141-14/SP101921 all"
"110",0.150849614737602,0,0.328907153808449,0,0.0738149708087374,0,0,0.214015459041345,0,0,0,0,0.0657670644046067,0,0,0.0853905489699302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-168-1/SP102161 all"
"68",0.152185550992553,0,0.43699405454333,0,0,0,0,0.105658843926939,0,0,0,0,0.0736960986243862,0,0,0.143441993126301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-130-1/SP101805 all"
"101",0.154201765792447,0,0.204259064516515,0,0.232755096747304,0,0,0.195664215056471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-161-1/SP102090 all"
"26",0.158259511677082,0,0.278446980719406,0,0.262810501381524,0,0,0.149610153585528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-083-1/SP101592 all"
"82",0.159312610422508,0.0710905962421637,0.318128461538362,0,0,0,0,0.102915715633139,0.0719377251879313,0,0,0,0.0759254017262875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-141-13/SP101916 all"
"27",0.163290403161858,0,0.21510920809142,0,0.351060992005613,0,0,0.107651889541196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-084-1/SP101596 all"
"55",0.173522853930234,0,0.222968317767901,0,0.125910166339854,0,0,0.319460304119604,0,0,0,0,0,0,0,0.0829608699645083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-113-1/SP101694 all"
"19",0.175500147549724,0,0.291580257990945,0,0,0,0,0.125815081807866,0,0,0,0,0.178706161036031,0,0,0.132247682336257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-075-1/SP101564 all"
"57",0.177502484687176,0,0.234007110481411,0,0.18068022482422,0,0,0.283350495170252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-115-1/SP101708 all"
